Регион,Класс жилья,Количество комнат,Февраль 2022,Март 2022,Апрель 2022,Май 2022,Июнь 2022,Июль 2022,Август 2022,Сентябрь 2022,Октябрь 2022,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023,Май 2023,Июнь 2023,Июль 2023,Август 2023,Сентябрь 2023,Октябрь 2023,Ноябрь 2023,Декабрь 2023,Январь 2024,Февраль 2024,Март 2024,Апрель 2024,Май 2024,Июнь 2024,Июль 2024,Август 2024,Сентябрь 2024,Октябрь 2024,Ноябрь 2024,Декабрь 2024
Город Санкт-Петербург,Бизнес-Элитный,1,127.77944,132.83586,129.45361,122.468185,122.468185,123.240036,126.93307,130.3773,130.58319,129.21439,129.7995,116.82764,115.113976,115.67201,118.71134,116.62435,118.99857,120.03607,121.687706,124.561226,126.93333,129.88512,132.39432,133.50723,134.84792,132.61801,131.10638,132.16763,133.87485,137.88358,137.79024,139.57532,139.6932,143.09096,139.74701
Город Санкт-Петербург,Бизнес-Элитный,2,121.700485,127.17885,128.0449,120.21735,119.575165,119.57581,119.52066,118.63252,116.24953,117.124084,118.181404,112.92664,109.419426,109.120476,106.286644,106.6433,108.13477,109.16209,112.44671,115.73254,118.72423,119.522064,118.372025,124.23294,124.55222,125.184395,126.49504,130.2134,133.89418,138.5068,138.33289,140.27383,138.54048,139.73228,140.28145
Город Санкт-Петербург,Бизнес-Элитный,3,120.676056,122.24594,125.886665,125.92241,133.53621,134.17055,137.75769,134.83011,134.2462,135.59172,139.89862,129.8758,127.340065,125.35954,128.82654,133.26923,130.50407,135.98508,134.24384,133.86972,135.12936,135.9803,135.3077,135.76265,136.91309,137.00475,136.79388,136.20314,141.49419,140.53731,142.83673,141.73463,145.43768,144.93973,144.04015
Город Санкт-Петербург,Бизнес-Элитный,Все,123.85481,128.2072,128.09402,122.53942,124.124115,124.58023,126.85929,127.41007,126.478874,126.46332,127.84201,118.20978,115.68574,115.52037,116.3179,116.19124,117.472664,119.220474,121.035965,123.58701,126.05666,127.771736,128.1691,131.24956,132.13309,131.54373,131.45844,133.32426,136.50955,139.91592,140.22441,141.56773,141.60663,143.46371,142.06485
Город Санкт-Петербург,Общий,1,131.75833,134.91919,136.69548,139.72707,142.14162,144.98964,146.70007,148.41809,147.4219,147.2043,148.28856,142.10617,141.93663,140.80864,140.11766,139.91896,140.94444,142.33638,144.17744,147.30753,149.24069,151.89775,154.67175,155.1887,155.4887,156.6133,156.59134,158.74374,162.74535,164.55066,164.5343,165.45082,167.96776,170.63812,171.68538
Город Санкт-Петербург,Общий,2,130.57999,134.13873,135.95714,137.76376,139.13496,141.48756,143.6185,144.25105,144.72047,145.17685,145.44164,140.94937,140.18935,140.11116,139.57846,139.79083,141.29922,142.27916,144.73833,148.28606,150.56349,152.06488,154.01317,157.08737,158.50926,158.65453,158.34628,162.10365,164.54063,167.61516,167.26193,168.9552,170.39394,172.7163,175.41718
Город Санкт-Петербург,Общий,3,125.57241,127.2576,128.61662,131.24518,134.73036,138.2481,140.08228,139.76547,140.27307,139.81372,140.79793,133.09256,133.24326,131.87407,132.604,133.6591,135.2037,136.48216,137.46297,139.51033,140.88612,142.30449,143.7565,146.34998,147.68143,148.75322,148.49426,148.85779,151.98857,151.74973,154.33195,152.61345,155.23766,155.82019,156.95316
Город Санкт-Петербург,Общий,Все,130.83461,133.94302,135.68768,138.38744,140.65596,143.44542,145.2671,146.54291,146.02702,145.95224,146.83105,140.94963,140.66359,139.78368,139.25938,139.27432,140.46698,141.74399,143.65987,146.78998,148.75536,150.99231,153.41977,154.80269,155.48505,156.36362,156.24811,158.62103,162.1632,164.08449,164.23192,165.09303,167.36281,169.75334,171.19734
Город Санкт-Петербург,Типовой-Комфорт,1,132.04547,135.05405,137.23058,141.06427,143.67525,146.6914,148.22668,149.79012,148.6938,148.57343,149.70103,144.15837,144.1401,142.84248,141.75931,141.75513,142.63107,144.05475,145.9072,149.0485,150.91438,153.51566,156.30205,156.7407,156.91223,158.4311,158.59164,160.86543,165.13472,166.62538,166.61937,167.41148,170.23296,172.77058,174.4281
Город Санкт-Петербург,Типовой-Комфорт,2,132.56215,135.66118,137.69525,141.71214,143.56819,146.47607,149.14345,150.14516,151.28949,151.64499,151.71474,147.41644,147.3224,147.30154,147.40335,147.57112,149.06174,150.00978,152.15201,155.6952,157.63722,159.35507,162.4906,164.21797,166.04195,165.9701,164.97359,168.57637,170.36693,172.63667,172.22359,173.7432,176.4683,179.18968,182.73518
Город Санкт-Петербург,Типовой-Комфорт,3,127.61094,129.34583,129.70757,133.51302,135.07991,139.82141,140.89223,141.6549,142.61862,141.45331,141.27376,134.30894,135.29044,134.10858,133.94121,133.96623,136.8423,136.68794,138.57675,141.4873,142.90602,144.54973,146.93736,150.52263,151.93462,153.51845,153.23619,154.12392,156.00423,156.15775,158.86467,156.82535,158.81342,160.01508,162.32875
Город Санкт-Петербург,Типовой-Комфорт,Все,131.8102,134.73799,136.74066,140.6123,142.97902,146.09784,147.8506,149.23093,148.77304,148.69006,149.49847,144.14293,144.17851,143.19054,142.45529,142.49275,143.66574,144.85486,146.77707,149.99112,151.8369,154.1569,156.98964,157.98042,158.61127,159.7967,159.67607,162.13022,165.70393,167.26166,167.37144,168.11427,170.85718,173.337,175.4298
Ленинградская область,Бизнес-Элитный,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ленинградская область,Бизнес-Элитный,2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ленинградская область,Бизнес-Элитный,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ленинградская область,Бизнес-Элитный,Все,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ленинградская область,Общий,1,126.663185,136.1844,140.21425,140.21802,141.74983,143.3195,144.57889,148.38231,147.67816,147.67816,148.36975,142.36946,142.26602,137.27304,136.40895,136.10887,136.86949,137.85332,140.31038,142.9398,143.6545,146.08522,147.224,147.8845,149.94148,150.94733,151.53426,152.10121,154.7626,155.76753,155.75543,157.07597,158.7629,160.80573,161.76672
Ленинградская область,Общий,2,131.02594,136.11719,139.8601,144.74516,147.46245,152.56635,154.01599,155.32704,155.70581,157.76593,159.88177,150.6811,150.6811,147.92911,147.87189,147.20905,148.49823,149.85129,152.00851,154.11626,156.08075,156.11491,156.93657,156.93657,160.17555,161.22003,161.59468,163.12639,164.61292,165.02545,165.25926,169.35371,173.6636,175.60583,178.66116
Ленинградская область,Общий,3,135.20056,138.17108,138.8947,144.65607,144.77817,148.39645,154.01845,157.5786,155.16211,157.40437,160.28307,151.20319,151.76546,147.6982,147.91139,147.19582,148.08153,150.13066,152.85262,157.75787,157.75787,160.86996,162.8435,165.27324,171.72142,172.1665,171.49263,171.80797,174.10326,174.91504,174.39478,173.92728,178.31282,180.59288,183.5683
Ленинградская область,Общий,Все,128.18188,136.4306,140.22784,141.60274,143.32303,145.78487,147.32306,150.55284,150.01036,150.60017,151.72769,144.8219,144.77571,140.42578,139.8259,139.41165,140.31157,141.4402,143.8377,146.45674,147.43953,149.32465,150.43047,151.02533,153.60414,154.58998,155.0587,155.84111,158.21184,159.06708,159.08646,160.97092,163.4305,165.46312,167.0488
Ленинградская область,Типовой-Комфорт,1,126.663185,136.1844,140.21425,140.21802,141.74983,143.3195,144.57889,148.38231,147.67816,147.67816,148.36975,142.36946,142.26602,137.27304,136.40895,136.10887,136.86949,137.85332,140.31038,142.9398,143.6545,146.08522,147.224,147.8845,149.94148,150.94733,151.53426,152.10121,154.7626,155.76753,155.75543,157.07597,158.76314,160.80629,161.76752
Ленинградская область,Типовой-Комфорт,2,131.02594,136.11719,139.8601,144.74516,147.46245,152.56635,154.01599,155.32704,155.70581,157.76593,159.88177,150.6811,150.6811,147.92911,147.87189,147.20905,148.49823,149.85129,152.00851,154.11626,156.08075,156.11491,156.93657,156.93657,160.17555,161.22003,161.59468,163.12639,164.61292,165.02551,165.25938,169.35623,173.6714,175.61617,178.67561
Ленинградская область,Типовой-Комфорт,3,135.20056,138.17108,138.8947,144.65607,144.77817,148.39645,154.01845,157.5786,155.16211,157.40437,160.28307,151.20319,151.76546,147.6982,147.91139,147.19582,148.08153,150.13066,152.85262,157.75787,157.75787,160.86996,162.8435,165.27324,171.72142,172.1665,171.49263,171.80797,174.10493,174.91733,174.39665,173.92879,178.32516,180.61111,183.59444
Ленинградская область,Типовой-Комфорт,Все,128.18188,136.4306,140.22784,141.60274,143.32303,145.78487,147.32306,150.55284,150.01036,150.60017,151.72769,144.8219,144.77571,140.42578,139.8259,139.41165,140.31157,141.4402,143.8377,146.45674,147.43953,149.32465,150.43047,151.02533,153.60414,154.58998,155.0587,155.84111,158.21194,159.06726,159.08662,160.97147,163.4324,165.46623,167.053
